Code,Name,결산월,상장폐지일,상장폐지사유
A033330,두림티앤씨,12.0,20080503.0,감사의견거절(감사범위제한)
A033510,어필텔레콤,12.0,19990115.0,주식양도제한
A033550,룩손에너지,12.0,20130507.0,감사의견거절(감사범위 제한 및 계속기업으로서의 존속능력에 대한 불확실성)
A033630,SK브로드밴드,12.0,20150701.0,상장폐지신청('15.6.11)
A033720,블루스톤,12.0,20090515.0,감사의견거절(계속기업으로서의 존속능력에 대한 불확실성)
A033850,지노시스템,12.0,20110507.0,감사의견거절(감사범위제한)
A033880,블루멈,12.0,20090904.0,"2009.3.31 자본잠식률 50% 이상으로 관리종목 지정 후,"
A034010,트라이써클,12.0,20130221.0,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지가 필요하다고 인정"
A034510,무한투자,12.0,20120925.0,시가총액 40억원 미달
A034600,글로웍스,9.0,20110629.0,자본잠식률 50%이상으로 관리종목 지정 후 반기 재무제표에 대한 감사의견 거절
A034660,제넥셀,12.0,20100415.0,감사범위제한으로 인한 감사의견 거절
A034750,디씨씨,12.0,20080712.0,2분기 연속 거래실적부진사유 미해소
A034970,올에버,12.0,20030415.0,감사의견거절
A034980,이론테크놀로지,12.0,20030430.0,최종부도 및 은행거래정지
A035010,소예,6.0,20091103.0,최근 사업연도의 재무제표에 대한 감사인의 감사의견거절
A035210,티브로드도봉강북방송,12.0,20121101.0,상장폐지신청('12.09.26)
A035270,청람디지탈,12.0,20080423.0,사업보고서 법정제출기한의 다음날부터 10일 이내에 미제출
A035400,브이에스에스티,12.0,20101001.0,"기업의 계속성, 경영의 투명성 등 고려하여 상장폐지 인정"
A035430,드림라인,12.0,20030919.0,액면가액일정비율미달
A035450,지아이바이오,12.0,20130807.0,감사의견거절(감사범위 제한 및 계속기업으로서의 존속능력에 대한 불확실성)
A035500,써니트렌드,12.0,20090904.0,자본잠식률 50%이상 및 자기자본 10억원미만으로 관리종목 지정후 최근 반기 재무제표에 대한 외부감사인의 감사의견 의견거절
A035710,CL,12.0,20100501.0,감사범위제한으로 인한 감사의견거절
A035780,그로웰텔레콤,12.0,20050111.0,액면가액일정비율미만(20041224)
A035830,메카포럼,12.0,20100716.0,"기업의 계속성, 경영의 투명성 등 고려하여 상장폐지 인정"
A035870,호성,12.0,20040612.0,최종부도발생
A035910,현대멀티캡,12.0,20050119.0,최종부도(20050104)
A035950,케이알,3.0,20090821.0,감사범위제한으로 인한 감사의견거절 및 계속기업 불확실성으로 인한 감사의견거절 사유해소 확인서 미제출
A035960,바이오시스,12.0,20040407.0,감사의견거절(20040322)
A036020,한아시스템,12.0,20050402.0,감사의견 부적정(20050321)
A036210,태산엘시디,12.0,20140411.0,자본전액잠식등
A036220,오상헬스케어,12.0,20160509.0,감사의견 거절(감사범위 제한으로 인한 의견거절)
A036270,헤쎄나,12.0,20090617.0,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지가 필요하다고 인정"
A036280,뉴켐진스템셀,12.0,20090424.0,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지가 필요하다고 인정"
A036360,3SOFT,12.0,20090429.0,감사의견거절(감사범위제한)
A036500,에스에스컴텍,12.0,20170511.0,감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성)
A036550,에이스디지텍,12.0,20110822.0,피흡수합병
A036590,케이엔티,12.0,20050416.0,자본전액잠식(20050331)
A036600,지니웍스,12.0,20050402.0,감사의견거절(20050318)
A036610,지디코프,12.0,20090617.0,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지가 필요하다고 인정"
A036660,플러스프로핏,6.0,20091120.0,감사범위 제한에 따른 감사의견 거절
A036720,한빛네트,12.0,20040408.0,감사의견거절
A036760,KNS홀딩스,12.0,20090423.0,"감사의견거절(감사범위제한), 법정제출기한까지 사업보고서를 제출하지 아니한 후 법정제출기한의 다음날부터 10일 이내에 사업보고서 미제출"
A036790,자강,12.0,20090515.0,감사의견거절(계속기업 존속 불확실성)
A036820,비이티,12.0,20050421.0,감사범위제한한정(20050321)
A036840,휴코드,12.0,20110915.0,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성등을 종합적으로 고려하여 상장폐지가 필요하다고 인정"
A036850,나리지*온,12.0,20100714.0,피흡수합병
A036880,맥시스템,12.0,20050331.0,감사의견거절(20050316)
A036900,택산아이엔씨,12.0,20050423.0,감사의견거절
A036910,세원텔레콤,12.0,20040601.0,회사정리절차신청개시
A036920,지앤에스티,12.0,20130507.0,감사의견거절(감사범위 제한)
A037010,넷컴스토리지,12.0,20040408.0,감사의견거절
A037020,한와이어리스,12.0,20110423.0,사업보고서 법정제출기한 익일부터 10일이내 미제출
A037060,시큐어소프트,12.0,20070404.0,재감사보고서상 감사의견거절
A037110,JS,12.0,20100501.0,감사의견거절(감사범위제한)
A037120,한신코퍼레이션,6.0,20041021.0,감사의견거절(20040930)
A037150,CJ인터넷,12.0,20110322.0,씨제이이앤엠(주)에 피흡수합병
A037200,다산씨앤드아이,6.0,20030619.0,최종부도 및 은행거래정지
A037220,넥스텔,12.0,20050409.0,최종부도(20050324)
A037240,평안물산,12.0,20120601.0,감사의견거절(감사범위제한)
A037250,대흥멀티미디어통신,12.0,20040511.0,최종부도
A037280,시스컴,12.0,20030329.0,최종부도 및 은행거래정지
A037320,시노펙스그린테크,12.0,20120319.0,피흡수합병
A037340,씨엘인터내셔널,12.0,20160908.0,2반기 연속 자본잠식률 50% 이상
A037380,에이원마이크로,12.0,20120201.0,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정
A037410,코리아링크,12.0,20030416.0,감사의견거절 및 최종부도
A037540,네스테크,12.0,20111126.0,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정"
A037550,클라스타,12.0,20111026.0,"자본잠식률 50% 이상으로 관리종목 지정 후, 최근 반기의 재무제표에 대한 감사인의 감사의견 거절"
A037600,씨모스,12.0,20040324.0,감사의견거절
A037630,에스비엠,12.0,20130724.0,감사의견거절(감사범위 제한 및 계속기업으로서의 존속능력에 대한 불확실성)
A037640,지에스엔텍,12.0,20050124.0,최종부도(20050107)
A037650,성진산업,12.0,20050405.0,감사의견거절(20050321)
A037700,토자이홀딩스,12.0,20111012.0,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정
A037730,쓰리알,12.0,20040422.0,자본전액잠식(20040406)
A037740,디지텔,12.0,20020708.0,최종부도 및 은행거래정지
A037750,엔써커뮤니티,12.0,20040413.0,감사의견거절(20040329)
A037830,글로포스트,12.0,20100209.0,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지가 필요하다고 인정"
A038050,트래픽아이티에스,12.0,20040422.0,감사의견거절(20040330)
A038100,아이엠아이티,12.0,20050408.0,감사의견거절(20050323)
A038120,AD모터스,12.0,20130130.0,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지가 필요하다고 인정"
A038320,어울림정보,12.0,20120908.0,2반기 연속 자본잠식률 50%이상
A038410,트라이콤,12.0,20090423.0,법정제출기한까지 사업보고서를 제출하지 아니한 후 법정제출기한의 다음날부터 10일 이내에 사업보고서 미제출
A038420,씨엔씨엔터,12.0,20070829.0,2회 연속 자본잠식률 50% 이상 및 자기자본 10억원 미만
A038520,오리엔트전자,12.0,20030307.0,최종부도 및 은행거래정지
A038690,에이스일렉,12.0,20100417.0,감사의견거절(감사범위제한)
A038710,콜마파마,12.0,20110507.0,감사의견거절(계속기업으로서의 존속능력에 대한 불확실성)
A038720,유일엔시스,12.0,20130501.0,감사의견 부적정
A038810,포이보스,12.0,20090411.0,자본전액잠식
A038830,케이엠에스,12.0,20090808.0,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지가 필요하다고 인정"
A038920,지이엔에프,12.0,20090529.0,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지가 필요하다고 인정"
A038960,현주컴퓨터,6.0,20050511.0,최종부도(20050425)
A038980,이지클럽,12.0,20050910.0,최근사업연도말 기준 자본잠식률 100분의 50이상의 사유
A038990,넥스콘테크,12.0,20121101.0,상장폐지신청('12.10.09)
A039000,써미트테크놀로지,12.0,20040413.0,감사의견거절(20040326)
A039040,유니텍전자,12.0,20110429.0,감사의견거절(감사범위 제한 및 계속기업으로서의 존속능력에 대한 불확실성)
A039060,아이비진,12.0,20081222.0,최종부도
A039110,에스피컴텍,12.0,20060415.0,2사업연도 연속 매출액 30억원 미달(20060331)
A039350,헤파호프,12.0,20110616.0,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정
A039390,윌텍정보통신,12.0,20040409.0,감사의견거절(20040324)
A039500,마인에스에이,8.0,20020315.0,피흡수합병(타임아이엔씨)
A039530,씨앤케이인터,12.0,20150519.0,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정
A039580,피코소프트,12.0,20040407.0,감사의견거절(20040322)
A039790,위노바,12.0,20180309.0,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정
A039850,태창파로스,12.0,20150519.0,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정
A039870,피케이엘,10.0,20051109.0,상장폐지신청(20051014)
A039990,코아정보,12.0,20090610.0,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지가 필요하다고 인정"
A040020,사라콤,12.0,20090527.0,자본전액잠식
A040130,엔플렉스,12.0,20040403.0,감사의견거절(20040320)
A040180,대양글로벌,12.0,20111025.0,감사의견거절(감사범위 제한)
A040670,와이즈파워,12.0,20150716.0,자본전액잠식 등
A040740,아인스M&M,12.0,20120501.0,감사의견거절(감사범위 제한 및 계속기업존속 불확실성)
A040750,벨로체피아노,12.0,20030424.0,감사의견 거절
A040780,유니씨앤티,12.0,20021018.0,최종부도 및 은행거래정지
A041030,이루넷,12.0,20100505.0,감사범위제한으로 인한 감사의견 거절
A041060,아라온테크,12.0,20140508.0,감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성)
A041310,모빌링크,12.0,20090423.0,자본전액잠식
A041320,보홍,12.0,20100508.0,감사의견거절(감사범위제한)
A041450,인네트,12.0,20100914.0,최종부도 발생
A041500,대한바이오링크,12.0,20060425.0,2사업연도 연속 매출액 30억원 미달(20060410)
A041550,쎄라텍,12.0,20100825.0,"기업의 계속성, 경영의 투명성 등 고려하여 상장폐지 인정"
A041630,인젠,12.0,20100508.0,감사범위제한으로 인한 의견거절
A041800,코디콤,12.0,20100309.0,"기업의 계속성, 경영의 투명성 등 고려하여 상장폐지 인정"
A041940,한텔,12.0,20080423.0,2연속 자본잠식률 50% 이상
A042340,대국,12.0,20120413.0,최근3사업연도중2사업연도자기자본 50%초과법인세비용차감전손실발생
A042470,심스밸리,12.0,20021116.0,최종부도 및 은행거래정지
