Code,Name,결산월,상장폐지일,상장폐지사유
A008900,티이씨앤코,12,2016-05-17,해산 사유 발생
A008950,동부화학,12,1997-04-01,동부한농(구:한농)화학에 피흡수합병으로 인한 해산
A008980,동양현대종합금융,3,2001-12-20,동양증권(주)에 피흡수합병
A008990,중앙종합금융,3,2001-02-10,해산사유발생
A009030,대한종합금융,3,1999-11-20,상장폐지유예기간종료(영업인가취소(99.9.27))
A009050,대한알루미늄공업,12,2001-03-30,신청에의한주권폐지
A009080,태평양종합산업,12,2005-08-17,해산((주)태평양에 피흡수 합병)
A009280,다함이텍,12,2013-04-16,매출액 미달(50억원 미만) 2년 계속
A009330,삼애인더스,6,2002-10-22,2001사업년도 외부감사인의 감사의견거절
A009360,베네데스하이텍,12,2005-04-15,감사의견거절
A009380,아세아페이퍼텍,12,2013-01-23,아세아제지(주)에 피흡수합병으로 해산
A009400,케이와이씨,12,1994-12-23,"부도발생 및 은행거래정지, 자본전액잠식 3년 계속, 영업활동정지, 공시서류미제출"
A009650,현대자동차써비스,12,1999-04-15,현대자동차㈜에 피흡수합병으로 인한 해산
A009690,케이엠에이치,12,2009-05-13,2008사업연도 감사인의 감사보고서상 감사의견거절
A009720,전기초자,12,2011-02-16,신청에 의한 상장폐지
A009760,한국컴퓨터지주,12,2005-04-19,주식분포요건 미충족 2년 계속
A009790,휴닉스,12,2003-10-02,주가수준 미달
A009840,갑을,12,2003-04-16,"2002사업연도 외부감사인의 감사의견거절,회사정리절차개시 신청"
A009890,맥슨텔레콤,12,2005-04-21,"자본전액잠식, 감사의견거절"
A009940,대아리드선,12,2005-04-28,자본전액잠식
A009990,미우,12,1996-03-25,회사정리절차폐지 확정에 따른 상장폐지유예기간 종료
A010000,금성계전,12,1995-09-28,엘지산전㈜에 피흡수합병
A010030,흥양,12,1996-06-26,상장폐지 유예기간의 종료
A010090,이마트에브리데이,12,2004-04-24,2003사업연도 사업보고서상 자본금전액잠식
A010110,고려화학,12,2000-04-17,㈜금강에 피흡수합병으로 인한 해산
A010150,포스코티엠씨,12,2004-04-23,감사의견거절
A010200,극동제혁,12,2004-10-18,해산사유발생
A010220,한솔종합금융,3,1998-08-21,영업인가취소에 따른 해산사유발생
A010330,라미화장품,12,2003-04-16,2002사업연도 외부감사인의 감사보고서상 자본전액잠식 2년연속
A010460,화인자산관리,12,2014-04-15,보통주 주식분포요건 미충족 2년 계속
A010510,일진,12,2003-11-05,해산사유발생
A010520,현대하이스코,12,2015-07-15,해산 사유 발생
A010530,라이프주택개발,12,1998-05-19,"자본전액잠식11년계속,영업활동정지등 산업합리화대상법인으로 불연장신청"
A010730,금강화섬,9,2004-07-22,"최종부도발생,은행거래정지"
A010910,제일냉동,12,1998-07-15,회사정리절차폐지결정에 따른 상장폐지유예기간 종료
A010970,한주화학,12,1998-05-19,자본전액잠식 6년계속에 따른 상장폐지유예기간종료
A011020,코오롱유화,12,2007-06-15,㈜코오롱에 피흡수합병으로 해산
A011050,케드콤,12,2010-07-22,감사의견 의견거절
A011180,동국방직,12,1999-07-21,동국무역㈜에 피흡수합병으로 인한 해산
A011260,한국종합금융,3,2001-02-10,해산사유발생
A011290,갑을방적,12,2001-03-20,(주)갑을에피흡수합병으로인한해산
A011400,케이씨오에너지,12,2010-05-20,최종부도발생
A011450,송원칼라,12,2001-12-05,주권의 자진 상장폐지 신청
A011470,기산,12,1999-01-16,파산에 따른 해산사유발생
A011510,청구,12,2002-04-20,2001사업년도 외부감사인의 감사의견거절
A011540,삼신,12,1996-07-18,회사정리절차개시신청 기각확정에 따른 상장폐지유예기간 종료
A011650,엘지정보통신,12,2000-09-20,LG전자에피흡수합병
A011720,현대페인트,12,2016-11-21,감사의견 의견거절
A011800,배명금속,12,2012-09-03,최종부도발생
A011820,한국물산,12,1999-10-02,상장폐지유예기간종료(중요 영업용자산처분(주요자산경매))
A011840,계몽사,9,2003-05-16,최종부도발생 및 은행거래중지
A011880,현대종합금융,3,1999-02-22,㈜강원은행과 합병후 해산
A011940,태영판지공업,12,1999-10-27,상장폐지유예기간종료(영업활동정지 및 주요자산 경매신청)
A011960,새한종합금융,3,1999-01-16,영업인가취소에 따른 해산사유발생
A012050,우진전기,12,1994-10-13,"부도발생 및 은행거래정지, 공시서류미제출"
A012090,성원건설,12,2010-05-03,감사의견 의견거절
A012150,동방개발,12,1996-04-25,회사정리절차개시신청 기각확정에 따른 상장폐지유예기간 종료
A012190,신호페이퍼,6,1998-06-29,신호제지에 피흡수합병으로 인한 해산
A012220,동국전자,12,1999-10-27,상장폐지유예기간종료(영업활동정지 및 주요자산 경매신청)
A012250,셰프라인,12,2005-04-15,감사의견거절
A012260,이지닷컴,12,2002-04-03,2001사업년도 외부감사인의 감사의견거절
A012270,동신,12,2003-10-23,주가수준 미달후 60일간 20/100 미만 연속 10일 이상
A012300,신한인터내쇼날,12,1994-06-13,"부도발생 및 은행거래정지, 공시서류미제출, 영업활동정지"
A012400,허메스홀딩스,12,2012-06-12,감사의견 의견거절
A012410,글로스텍,12,2013-06-04,감사의견 의견거절
A012420,메리츠종금,3,2010-04-21,메리츠증권(주)에 피흡수합병으로 인한 해산
A012470,영진테크,12,1999-10-27,상장폐지유예기간종료(영업활동정지 및 주요자산 경매신청)
A012500,제일종합금융,3,1998-10-17,영업인가취소에 따른 해산사유발생
A012580,신세계톰보이,12,2010-07-30,최종부도발생
A012670,환영철강공업,12,2002-04-27,자본전액잠식2년계속
A012710,한스종합금융,3,2001-02-10,해산사유발생
A012720,건영,12,2003-10-02,주가수준 미달
A012760,동아,12,2004-07-16,최종부도발생
A012830,현대리바트,12,1999-01-22,고려산업개발㈜에 피흡수합병으로 인한 해산
A012910,한라시멘트,12,1999-10-27,상장폐지유예기간종료(영업활동정지 및 주요자산 경매신청)
A012990,LG석유화학,12,2007-11-15,㈜LG화학에 피흡수합병으로 해산
A013040,금강피혁,12,1998-11-18,영업활동정지 및 주요자산의 경매 2회이상 유찰로 유예기간단축
A013070,태양이앤테크,12,1999-01-16,영업활동정지 및 주요자산의 경매 2회이상 유찰로 유예기간단축
A013090,인켈,12,2002-04-27,2001사업년도 외부감사인의 감사의견거절
A013200,C&우방,12,2009-05-13,2008사업연도 감사인의 감사보고서상 감사의견거절
A013240,셀런,12,2011-04-15,자본전액잠식
A013250,대양상호신용금고,6,2002-10-04,해산사유(파산확정)발생
A013820,피앤텍,12,1999-10-27,상장폐지유예기간종료(영업활동정지 및 회사정리절차개시신청기각)
A013890,지누스,12,2005-05-18,자본전액잠식
A014010,인터피온반도체,6,2005-12-28,감사의견 의견거절
A014040,GPS,12,2002-11-29,회사정리절차폐지
A014080,뉴맥스,12,2001-04-26,공시서류미제출
A014150,한외종합금융,3,1999-01-25,㈜한국외환은행과 합병후 해산
A014300,선진지주,12,2013-01-18,해산 사유 발생
A014350,신일건업,12,2015-04-15,자본전액잠식
A014390,대구종합금융,3,1998-08-21,영업인가취소에 따른 해산사유발생
A014400,경남종합금융,3,1998-07-15,영업인가취소에 따른 해산사유발생
A014430,한길종합금융,3,1999-01-16,영업인가취소에 따른 해산사유발생
A014450,삼양종합금융,3,1998-10-17,영업인가취소에 따른 해산사유발생
A014490,쌍용종합금융,3,1998-07-15,영업인가취소에 따른 해산사유발생
A014590,티엘씨레저,12,2011-05-13,감사의견 의견거절
A014740,금호케미칼,12,2001-01-16,금호석유화학㈜에피흡수합병
A014900,삼보컴퓨터,12,2007-04-25,자본전액잠식
A014980,항도종합금융,3,1998-07-15,영업인가취소에 따른 해산사유발생
A015080,청솔종합금융,3,1998-07-15,영업인가취소에 따른 해산사유발생
A015090,대미실업,12,1994-10-13,"부도발생 및 은행거래정지, 공시서류미제출"
A015110,중앙건설,12,2012-12-11,주가수준미달
A015340,나우정밀,12,1996-11-28,해태전자의 피흡수 합병으로 인한 폐지
A015580,신한은행,12,2001-09-10,신한금융지주회사로의 주식이전
A015620,현대울산종합금융,3,2001-04-23,동양종합금융(주)에피흡수합병으로인한해산
A015650,리젠트종합금융,3,2001-07-16,동양현대종합금융(주)에피흡수합병
A015670,AP우주통신,12,2007-09-12,2006사업연도 사업보고서 미제출 및 감사의견거절
A015730,대우정밀공업,12,1999-07-22,대우통신㈜에 피흡수합병으로 인한 해산
A015780,논노,12,1998-03-10,회사정리절차폐지확정에 따른 상장폐지유예기간종료
A015880,태화쇼핑,12,2001-09-22,회사정리절차폐지결정
A015940,LG데이콤,12,2010-01-15,(주)LG텔레콤에 피흡수 합병으로 해산
A015980,금경,12,1998-11-18,영업활동정지 및 주요자산의 경매 2회이상 유찰로 유예기간단축
A016070,동성반도체,12,1996-02-28,상장폐지 유예기간의 종료
A016160,오라바이오틱스,12,2011-04-26,사업보고서 미제출(법정제출기한부터 10일 이내 미제출)
A016350,신한종합금융,3,1998-07-15,영업인가취소에 따른 해산사유발생
A016390,나라종합금융,3,2000-08-29,영업인가 취소에 따른 해산
A016420,NH농협증권,12,2015-01-20,해산 사유 발생
A016430,동신제지,6,1996-08-14,온양펄프에 피흡수 합병으로인한 폐지
A016480,한화종합금융,3,1998-07-15,영업인가취소에 따른 해산사유발생
A016490,청화상공,12,1994-10-13,"부도발생 및 은행거래정지, 공시서류미제출"
A016500,삼삼종합금융,3,1998-07-15,영업인가취소에 따른 해산사유발생
A016510,현대DSF,12,2011-07-18,(주)현대백화점에 피흡수합병으로 인한 해산
A016550,한별텔레콤,12,2002-04-19,2001사업년도 외부감사인의 감사의견거절
A016560,서울저축은행,6,2012-10-17,자본잠식(자본금의 50/100이상 잠식) 2년 계속
A016570,태평양제약,12,2013-03-15,신청에 의한 상장폐지
A016640,신화,12,1999-10-02,상장폐지유예기간종료(중요 영업용자산처분(주요자산경매))
A016680,태흥피혁공업,12,1999-10-27,상장폐지유예기간종료(영업활동정지 및 회사정리절차개시신청기각)
A016690,신세계종합금융,3,1998-07-15,영업인가취소에 따른 해산사유발생
A016830,한국씨티은행,12,2004-07-13,자진상장폐지신청
A016970,씨크롭,12,2006-07-13,"감사의견 의견거절, 자본금의 100분의 50이상 잠식 2년 계속, 사업보고서 미제출"
A017070,호승,12,1995-12-08,회사정리절차 폐지확정으로 상장폐지유예기간 종료
A017110,고려종합금융,3,1998-07-15,영업인가취소에 따른 해산사유발생
A017120,바로크가구,12,2001-07-10,화의인가취소결정
A017170,훈영,12,2011-05-13,감사의견 의견거절
A017300,에이치비이에너지,12,2010-04-15,최근 사업연도의 사업보고서상 자본전액잠식
A017320,태일정밀,12,2001-04-26,공시서류미제출
