Code,상장된 시장,한글명
A138930,KOSPI,BNK금융지주
A139130,KOSPI,DGB금융지주
A139480,KOSPI,이마트
A143210,KOSPI,핸즈코퍼레이션
A144620,KOSPI,코오롱머티리얼
A145210,KOSPI,세화아이엠씨
A145720,KOSPI,덴티움
A145990,KOSPI,삼양사
A152330,KOSPI,코리아오토글라스
A155660,KOSPI,DSR
A161000,KOSPI,애경유화
A161390,KOSPI,한국타이어
A161890,KOSPI,한국콜마
A163560,KOSPI,동일고무벨트
A170900,KOSPI,동아에스티
A175330,KOSPI,JB금융지주
A180640,KOSPI,한진칼
A181710,KOSPI,NHN엔터테인먼트
A183190,KOSPI,아세아시멘트
A185750,KOSPI,종근당
A192400,KOSPI,쿠쿠홀딩스
A192820,KOSPI,코스맥스
A194370,KOSPI,제이에스코퍼레이션
A195870,KOSPI,해성디에스
A200880,KOSPI,서연이화
A204320,KOSPI,만도
A207940,KOSPI,삼성바이오로직스
A210540,KOSPI,디와이파워
A210980,KOSPI,SK디앤디
A213500,KOSPI,한솔제지
A214320,KOSPI,이노션
A214330,KOSPI,금호에이치티
A214390,KOSPI,경보제약
A214420,KOSPI,토니모리
A226320,KOSPI,잇츠한불
A227840,KOSPI,현대코퍼레이션홀딩스
A229640,KOSPI,LS전선아시아
A234080,KOSPI,JW생명과학
A241560,KOSPI,두산밥캣
A241590,KOSPI,화승엔터프라이즈
A248170,KOSPI,샘표식품
A249420,KOSPI,일동제약
A251270,KOSPI,넷마블
A264900,KOSPI,크라운제과
A267250,KOSPI,현대중공업지주
A267260,KOSPI,현대일렉트릭
A267270,KOSPI,현대건설기계
A267290,KOSPI,경동도시가스
A267850,KOSPI,아시아나IDT
A268280,KOSPI,미원에스씨
A271560,KOSPI,오리온
A271980,KOSPI,제일약품
A272450,KOSPI,진에어
A272550,KOSPI,삼양패키징
A280360,KOSPI,롯데제과
A281820,KOSPI,케이씨텍
A282330,KOSPI,BGF리테일
A282690,KOSPI,동아타이어
A284740,KOSPI,쿠쿠홈시스
A285130,KOSPI,SK케미칼
A286940,KOSPI,롯데정보통신
A293480,KOSPI,하나제약
A294870,KOSPI,HDC현대산업개발
A298000,KOSPI,효성화학
A298020,KOSPI,효성티앤씨
A298040,KOSPI,효성중공업
A298050,KOSPI,효성첨단소재
A298690,KOSPI,에어부산
A300720,KOSPI,한일시멘트
A306200,KOSPI,세아제강
A900140,KOSPI,엘브이엠씨홀딩스
