Code,상장폐지일,상장폐지사유
A007420,20011013.0,해산사유(파산확정) 발생
A007460,,
A007480,20130128.0,동원시스템즈(주)에 피흡수합병으로 인한 해산
A007490,20100513.0,감사의견 의견거절
A007540,,
A007570,,
A007590,,
A007610,,
A007630,,
A007660,,
A007690,,
A007700,,
A007790,19971112.0,회사정리절차폐지확정에 따른 상장폐지유예기간종료
A007800,20120725.0,"기업의 계속성, 경영의 투명성 및 기타 공익과 투자자 보호 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정"
A007810,,
A007860,,
A007910,20050224.0,자진상장폐지
A007980,,
A008000,20180320.0,지주회사(최대주주등)의 완전자회사화 등
A008020,20160519.0,신청에 의한 상장폐지
A008040,,
A008060,,
A008080,20130925.0,신청에 의한 상장폐지
A008100,19991002.0,상장폐지유예기간종료(회사정리절차폐지 확정)
A008110,,
A008120,20050428.0,자본전액잠식 및 감사의견 부적정
A008190,19991027.0,상장폐지유예기간종료(영업활동정지 및 폐업신고)
A008250,,
A008260,,
A008270,20050616.0,신청에 의한 상장폐지
A008320,20100311.0,2008사업연도 감사인의 감사보고서상 감사의견거절
A008350,,
A008400,20090513.0,2008사업연도 감사인의 감사보고서상 감사의견거절
A008420,,
A008440,20020423.0,2001사업년도 외부감사인의 감사의견거절
A008480,20020419.0,2001사업년도 외부감사인의 감사의견거절
A008490,,
A008500,,
A008530,20020220.0,리젠트증권에 피흡수합병
A008540,20120608.0,감사의견 의견거절
A008560,,
A008600,,
A008640,20010120.0,회사정리절차폐지결정
A008650,19960423.0,한국전자㈜에 피흡수 합병으로 인한 해산
A008670,20050105.0,신한금융지주회사 자회사편입
A008690,20010207.0,회사정리절차폐지확정
A008700,,
A008720,20141230.0,해산 사유 발생
A008730,,
A008750,20031227.0,상장시가총액 미달후 60매매일동안 상장시가총액 25억원 미만 사태가 10일간 계속
A008770,,
A008810,19991101.0,LG증권㈜에 피흡수합병으로 인한 해산
A008870,,
A008890,19990126.0,㈜하나은행과 합병후 해산
A008900,20160517.0,해산 사유 발생
A008930,,
A008950,19970401.0,동부한농(구:한농)화학에 피흡수합병으로 인한 해산
A008970,,
A008980,20011220.0,동양증권(주)에 피흡수합병
A008990,20010210.0,해산사유발생
A009030,19991120.0,상장폐지유예기간종료(영업인가취소(99.9.27))
A009050,20010330.0,신청에의한주권폐지
A009070,,
A009080,20050817.0,해산((주)태평양에 피흡수 합병)
A009140,,
A009150,,
A009160,,
A009180,,
A009190,,
A009200,,
A009240,,
A009270,,
A009280,20130416.0,매출액 미달(50억원 미만) 2년 계속
A009290,,
A009310,,
A009320,,
A009330,20021022.0,2001사업년도 외부감사인의 감사의견거절
A009360,20050415.0,감사의견거절
A009380,20130123.0,아세아제지(주)에 피흡수합병으로 해산
A009400,19941223.0,"부도발생 및 은행거래정지, 자본전액잠식 3년 계속, 영업활동정지, 공시서류미제출"
A009410,,
A009420,,
A009440,,
A009450,,
A009460,,
A009470,,
A009540,,
A009580,,
A009650,19990415.0,현대자동차㈜에 피흡수합병으로 인한 해산
A009680,,
A009690,20090513.0,2008사업연도 감사인의 감사보고서상 감사의견거절
A009720,20110216.0,신청에 의한 상장폐지
A009760,20050419.0,주식분포요건 미충족 2년 계속
A009770,,
A009790,20031002.0,주가수준 미달
A009810,,
A009830,,
A009840,20030416.0,"2002사업연도 외부감사인의 감사의견거절,회사정리절차개시 신청"
A009890,20050421.0,"자본전액잠식, 감사의견거절"
A009940,20050428.0,자본전액잠식
A009970,,
A009990,19960325.0,회사정리절차폐지 확정에 따른 상장폐지유예기간 종료
A010000,19950928.0,엘지산전㈜에 피흡수합병
A010030,19960626.0,상장폐지 유예기간의 종료
A010040,,
A010050,,
A010060,,
A010090,20040424.0,2003사업연도 사업보고서상 자본금전액잠식
A010100,,
A010110,20000417.0,㈜금강에 피흡수합병으로 인한 해산
A010120,,
A010130,,
A010140,,
A010150,20040423.0,감사의견거절
A010200,20041018.0,해산사유발생
A010220,19980821.0,영업인가취소에 따른 해산사유발생
A010330,20030416.0,2002사업연도 외부감사인의 감사보고서상 자본전액잠식 2년연속
A010400,,
A010420,,
A010460,20140415.0,보통주 주식분포요건 미충족 2년 계속
A010510,20031105.0,해산사유발생
A010520,20150715.0,해산 사유 발생
A010530,19980519.0,"자본전액잠식11년계속,영업활동정지등 산업합리화대상법인으로 불연장신청"
A010580,,
A010600,,
A010620,,
A010640,,
A010660,,
A010690,,
A010730,20040722.0,"최종부도발생,은행거래정지"
A010770,,
A010780,,
A010820,,
A010910,19980715.0,회사정리절차폐지결정에 따른 상장폐지유예기간 종료
A010950,,
A010960,,
A010970,19980519.0,자본전액잠식 6년계속에 따른 상장폐지유예기간종료
A011000,,
A011020,20070615.0,㈜코오롱에 피흡수합병으로 해산
A011050,20100722.0,감사의견 의견거절
A011070,,
A011090,,
A011150,,
A011160,,
A011170,,
A011180,19990721.0,동국무역㈜에 피흡수합병으로 인한 해산
A011200,,
A011210,,
A011230,,
A011260,20010210.0,해산사유발생
A011280,,
A011290,20010320.0,(주)갑을에피흡수합병으로인한해산
A011300,,
A011330,,
A011390,,
A011400,20100520.0,최종부도발생
A011420,,
A011450,20011205.0,주권의 자진 상장폐지 신청
A011470,19990116.0,파산에 따른 해산사유발생
A011500,,
A011510,20020420.0,2001사업년도 외부감사인의 감사의견거절
A011540,19960718.0,회사정리절차개시신청 기각확정에 따른 상장폐지유예기간 종료
A011650,20000920.0,LG전자에피흡수합병
A011690,,
A011700,,
A011720,20161121.0,감사의견 의견거절
A011760,,
A011780,,
A011790,,
A011800,20120903.0,최종부도발생
A011810,,
A011820,19991002.0,상장폐지유예기간종료(중요 영업용자산처분(주요자산경매))
A011840,20030516.0,최종부도발생 및 은행거래중지
A011880,19990222.0,㈜강원은행과 합병후 해산
A011930,,
A011940,19991027.0,상장폐지유예기간종료(영업활동정지 및 주요자산 경매신청)
A011960,19990116.0,영업인가취소에 따른 해산사유발생
A012030,,
A012050,19941013.0,"부도발생 및 은행거래정지, 공시서류미제출"
A012090,20100503.0,감사의견 의견거절
A012150,19960425.0,회사정리절차개시신청 기각확정에 따른 상장폐지유예기간 종료
A012160,,
A012170,,
A012190,19980629.0,신호제지에 피흡수합병으로 인한 해산
A012200,,
A012220,19991027.0,상장폐지유예기간종료(영업활동정지 및 주요자산 경매신청)
A012250,20050415.0,감사의견거절
A012260,20020403.0,2001사업년도 외부감사인의 감사의견거절
A012270,20031023.0,주가수준 미달후 60일간 20/100 미만 연속 10일 이상
A012280,,
A012300,19940613.0,"부도발생 및 은행거래정지, 공시서류미제출, 영업활동정지"
A012320,,
A012330,,
A012400,20120612.0,감사의견 의견거절
A012410,20130604.0,감사의견 의견거절
A012420,20100421.0,메리츠증권(주)에 피흡수합병으로 인한 해산
A012450,,
A012470,19991027.0,상장폐지유예기간종료(영업활동정지 및 주요자산 경매신청)
A012500,19981017.0,영업인가취소에 따른 해산사유발생
A012510,,
A012580,20100730.0,최종부도발생
A012600,,
A012610,,
A012630,,
A012670,20020427.0,자본전액잠식2년계속
A012690,,
A012710,20010210.0,해산사유발생
A012720,20031002.0,주가수준 미달
A012750,,
A012760,20040716.0,최종부도발생
A012800,,
A012830,19990122.0,고려산업개발㈜에 피흡수합병으로 인한 해산
A012910,19991027.0,상장폐지유예기간종료(영업활동정지 및 주요자산 경매신청)
A012990,20071115.0,㈜LG화학에 피흡수합병으로 해산
A013000,,
A013040,19981118.0,영업활동정지 및 주요자산의 경매 2회이상 유찰로 유예기간단축
A013070,19990116.0,영업활동정지 및 주요자산의 경매 2회이상 유찰로 유예기간단축
A013090,20020427.0,2001사업년도 외부감사인의 감사의견거절
A013200,20090513.0,2008사업연도 감사인의 감사보고서상 감사의견거절
A013240,20110415.0,자본전액잠식
A013250,20021004.0,해산사유(파산확정)발생
A013360,,
A013520,,
A013570,,
A013580,,
A013700,,
A013820,19991027.0,상장폐지유예기간종료(영업활동정지 및 회사정리절차개시신청기각)
A013870,,
A013890,20050518.0,자본전액잠식
A014010,20051228.0,감사의견 의견거절
A014040,20021129.0,회사정리절차폐지
A014080,20010426.0,공시서류미제출
A014130,,
A014150,19990125.0,㈜한국외환은행과 합병후 해산
A014160,,
A014280,,
A014300,20130118.0,해산 사유 발생
A014350,20150415.0,자본전액잠식
A014390,19980821.0,영업인가취소에 따른 해산사유발생
A014400,19980715.0,영업인가취소에 따른 해산사유발생
A014430,19990116.0,영업인가취소에 따른 해산사유발생
A014440,,
A014450,19981017.0,영업인가취소에 따른 해산사유발생
A014490,19980715.0,영업인가취소에 따른 해산사유발생
A014530,,
A014580,,
A014590,20110513.0,감사의견 의견거절
A014680,,
A014710,,
A014740,20010116.0,금호석유화학㈜에피흡수합병
A014790,,
A014820,,
A014830,,
A014900,20070425.0,자본전액잠식
A014910,,
A014980,19980715.0,영업인가취소에 따른 해산사유발생
A014990,,
A015020,,
A015080,19980715.0,영업인가취소에 따른 해산사유발생
A015090,19941013.0,"부도발생 및 은행거래정지, 공시서류미제출"
A015110,20121211.0,주가수준미달
A015230,,
A015260,,
A015340,19961128.0,해태전자의 피흡수 합병으로 인한 폐지
A015350,,
A015360,,
A015540,,
A015580,20010910.0,신한금융지주회사로의 주식이전
A015590,,
A015620,20010423.0,동양종합금융(주)에피흡수합병으로인한해산
A015650,20010716.0,동양현대종합금융(주)에피흡수합병
A015670,20070912.0,2006사업연도 사업보고서 미제출 및 감사의견거절
A015730,19990722.0,대우통신㈜에 피흡수합병으로 인한 해산
A015760,,
A015780,19980310.0,회사정리절차폐지확정에 따른 상장폐지유예기간종료
A015860,,
A015880,20010922.0,회사정리절차폐지결정
A015890,,
A015940,20100115.0,(주)LG텔레콤에 피흡수 합병으로 해산
A015980,19981118.0,영업활동정지 및 주요자산의 경매 2회이상 유찰로 유예기간단축
