Code,상장된 시장,한글명
A075130,KOSDAQ,플랜티넷
A075970,KOSDAQ,동국알앤에스
A076080,KOSDAQ,웰크론한텍
A076610,KOSDAQ,해성옵틱스
A077280,KOSDAQ,한컴지엠디
A077360,KOSDAQ,덕산하이메탈
A078020,KOSDAQ,이베스트투자증권
A078070,KOSDAQ,유비쿼스홀딩스
A078130,KOSDAQ,국일제지
A078140,KOSDAQ,대봉엘에스
A078150,KOSDAQ,HB테크놀러지
A078160,KOSDAQ,메디포스트
A078340,KOSDAQ,컴투스
A078350,KOSDAQ,한양디지텍
A078590,KOSDAQ,두올산업
A078600,KOSDAQ,대주전자재료
A078650,KOSDAQ,코렌
A078860,KOSDAQ,아이오케이
A078890,KOSDAQ,가온미디어
A078940,KOSDAQ,일경산업개발
A079000,KOSDAQ,와토스코리아
A079170,KOSDAQ,한창산업
A079190,KOSDAQ,EMW
A079370,KOSDAQ,제우스
A079650,KOSDAQ,서산
A079810,KOSDAQ,디이엔티
A079940,KOSDAQ,가비아
A079950,KOSDAQ,인베니아
A079960,KOSDAQ,동양이엔피
A079970,KOSDAQ,투비소프트
A080000,KOSDAQ,에스엔유
A080010,KOSDAQ,이상네트웍스
A080160,KOSDAQ,모두투어
A080220,KOSDAQ,제주반도체
A080420,KOSDAQ,모다이노칩
A080440,KOSDAQ,에스제이케이
A080470,KOSDAQ,성창오토텍
A080520,KOSDAQ,오디텍
A080530,KOSDAQ,코디
A080580,KOSDAQ,오킨스전자
A080720,KOSDAQ,한국유니온제약
A081150,KOSDAQ,티플랙스
A081580,KOSDAQ,성우전자
A082210,KOSDAQ,옵트론텍
A082270,KOSDAQ,젬백스
A082660,KOSDAQ,삼우엠스
A082800,KOSDAQ,루미마이크로
A082850,KOSDAQ,우리이티아이
A082920,KOSDAQ,비츠로셀
A083310,KOSDAQ,엘오티베큠
A083450,KOSDAQ,GST
A083470,KOSDAQ,KJ프리텍
A083500,KOSDAQ,에프엔에스테크
A083550,KOSDAQ,케이엠
A083640,KOSDAQ,인콘
A083650,KOSDAQ,비에이치아이
A083660,KOSDAQ,CSA 코스믹
A083790,KOSDAQ,크리스탈
A083930,KOSDAQ,아바코
A084110,KOSDAQ,휴온스글로벌
A084180,KOSDAQ,수성
A084370,KOSDAQ,유진테크
A084650,KOSDAQ,랩지노믹스
A084730,KOSDAQ,팅크웨어
A084990,KOSDAQ,바이로메드
A085370,KOSDAQ,루트로닉
A085660,KOSDAQ,차바이오텍
A085670,KOSDAQ,뉴프렉스
A085810,KOSDAQ,알티캐스트
A085910,KOSDAQ,네오티스
A086040,KOSDAQ,바이오톡스텍
A086060,KOSDAQ,진바이오텍
A086250,KOSDAQ,화신테크
A086390,KOSDAQ,유니테스트
A086450,KOSDAQ,동국제약
A086520,KOSDAQ,에코프로
A086670,KOSDAQ,비엠티
A086820,KOSDAQ,바이오솔루션
A086890,KOSDAQ,이수앱지스
A086900,KOSDAQ,메디톡스
A086960,KOSDAQ,한컴MDS
A086980,KOSDAQ,쇼박스
A087010,KOSDAQ,펩트론
A087260,KOSDAQ,모바일어플라이언스
A087600,KOSDAQ,픽셀플러스
A087730,KOSDAQ,네패스신소재
A088130,KOSDAQ,동아엘텍
A088290,KOSDAQ,이원컴포텍
A088390,KOSDAQ,이녹스
A088800,KOSDAQ,에이스테크
A088910,KOSDAQ,동우팜투테이블
A089010,KOSDAQ,켐트로닉스
A089030,KOSDAQ,테크윙
A089140,KOSDAQ,넥스턴
A089150,KOSDAQ,케이씨티
A089230,KOSDAQ,THE E&M
A089530,KOSDAQ,에이티세미콘
A089600,KOSDAQ,나스미디어
A089790,KOSDAQ,제이티
A089850,KOSDAQ,유비벨록스
A089890,KOSDAQ,코세스
A089970,KOSDAQ,에이피티씨
A089980,KOSDAQ,상아프론테크
A090150,KOSDAQ,광진윈텍
A090360,KOSDAQ,로보스타
A090410,KOSDAQ,덕신하우징
A090460,KOSDAQ,비에이치
A090470,KOSDAQ,제이스텍
A090710,KOSDAQ,디에스티로봇
A090740,KOSDAQ,연이정보통신
A090850,KOSDAQ,이지웰페어
A091120,KOSDAQ,이엠텍
A091340,KOSDAQ,S&K폴리텍
A091440,KOSDAQ,텔레필드
A091580,KOSDAQ,상신이디피
A091590,KOSDAQ,남화토건
A091700,KOSDAQ,파트론
A091970,KOSDAQ,나노캠텍
A091990,KOSDAQ,셀트리온헬스케어
A092040,KOSDAQ,아미코젠
A092070,KOSDAQ,디엔에프
A092130,KOSDAQ,이크레더블
