Code,Name,결산월,WICS업종코드(대),WICS업종명(중),WICS업종명(소)
A025770,한국정보통신,12.0,G50,통신서비스,다각화된통신서비스
A025870,신라에스지,12.0,G30,"식품,음료,담배",식품
A025880,케이씨피드,12.0,G30,"식품,음료,담배",식품
A025900,동화기업,12.0,G20,자본재,건축자재
A025910,이스턴마스텍,12.0,,,
A025920,우경,12.0,,,
A025921,우경보통1신주,,,,
A025940,부영철강,12.0,,,
A025950,동신건설,12.0,G20,자본재,건설
A025960,고려,12.0,,,
A025970,알덱스,12.0,,,
A025980,아난티,12.0,G25,"호텔,레스토랑,레저등","호텔,레스토랑,레저"
A026040,제이에스티나,12.0,G25,내구소비재와의류,"섬유,의류,신발,호화품"
A026150,특수건설,12.0,G20,자본재,건설
A026180,현대정보기술,12.0,G45,소프트웨어와서비스,IT서비스
A026220,에스티씨라이프,12.0,,,
A026230,IDH,12.0,,,
A026240,동남리스금융,3.0,,,
A026250,삼우이엠씨,12.0,,,
A026260,위너지스,12.0,,,
A026540,제일창투,12.0,,,
A026900,신원금속,12.0,,,
A026910,광진실업,12.0,G15,소재,철강
A026920,영성제강,12.0,,,
A026930,한양철강,12.0,,,
A026950,한일제관,12.0,,,
A026970,대백저축은행,12.0,,,
A027040,서울전자통신,12.0,G45,전자와 전기제품,전기제품
A027050,코리아나,12.0,G25,내구소비재와의류,화장품
A027350,텔슨전자,12.0,,,
A027360,아주IB투자,12.0,G40,다각화된금융,창업투자
A027440,코리아이앤디,12.0,,,
A027450,한보금고,6.0,,,
A027560,케이디엠,12.0,,,
A027580,상보,12.0,G45,디스플레이,디스플레이장비및부품
A027610,대륭산업,12.0,,,
A027700,대백쇼핑,12.0,,,
A027710,팜스토리,12.0,G30,"식품,음료,담배",식품
A027830,대성창투,12.0,G40,다각화된금융,창업투자
A027890,스탠더드텔레콤,12.0,,,
A028040,미래SCI,12.0,G20,자본재,건축자재
A028080,휴맥스홀딩스,12.0,G45,전자와 전기제품,전자제품
A028090,네오퍼플,12.0,,,
A028150,GS홈쇼핑,12.0,G25,소매(유통),인터넷과카탈로그소매
A028300,에이치엘비,12.0,G20,자본재,조선
A029470,한국대아진공,12.0,,,
A029480,바른테크놀로지,12.0,G45,기술하드웨어와장비,통신장비
A029960,코엔텍,12.0,G20,상업서비스와공급품,상업서비스와공급품
A030030,중앙디자인,12.0,,,
A030190,NICE평가정보,12.0,G40,기타금융서비스,신용평가서비스
A030270,에스마크,12.0,G25,내구소비재와의류,"섬유,의류,신발,호화품"
A030350,드래곤플라이,12.0,G45,소프트웨어와서비스,게임소프트웨어와서비스
A030390,쏠라엔텍,12.0,,,
A030420,디패션,12.0,,,
A030520,한글과컴퓨터,12.0,G45,소프트웨어와서비스,소프트웨어
A030530,원익홀딩스,12.0,G45,반도체와반도체장비,반도체와반도체장비
A030700,한국통신엠닷컴,12.0,,,
A030950,보진재,12.0,,,
A030960,양지사,6.0,G25,내구소비재와의류,문구류
A030970,주은리스,3.0,,,
A031090,화니백화점,12.0,,,
A031150,국민신용카드,12.0,,,
A031310,아이즈비전,12.0,G45,기술하드웨어와장비,통신장비
A031330,에스에이엠티,12.0,G45,기술하드웨어와장비,전자장비와기기
