Code,Name,결산월,WICS업종코드(대),WICS업종명(중),WICS업종명(소)
A005510,충청은행,12,,,
A005560,JS전선,12,,,
A005580,삼익주택,12,,,
A005600,중앙제지,12,,,
A005610,SPC삼립,12,G30,"식품,음료,담배",식품
A005620,대성합동지주,12,,,
A005660,한진건설,12,,,
A005680,삼영전자,12,G45,전자와 전기제품,전기제품
A005690,파미셀,12,G15,소재,화학
A005720,넥센,12,G25,자동차와부품,자동차부품
A005740,크라운해태홀딩스,12,G30,"식품,음료,담배",식품
A005750,대림B&Co,12,G20,자본재,건축제품
A005760,위너스인프라인,10,,,
A005770,광주은행,12,,,
A005790,만도기계,12,,,
A005800,신영와코루,12,G25,내구소비재와의류,"섬유,의류,신발,호화품"
A005810,풍산홀딩스,12,G15,소재,비철금속
A005820,원림,12,G15,소재,포장재
A005830,DB손해보험,12,G40,보험,손해보험
A005850,에스엘,12,G25,자동차와부품,자동차부품
A005870,휴니드,12,G20,자본재,우주항공과국방
A005880,대한해운,12,G20,운송,해운사
A005890,동원증권,3,,,
A005900,동양건설산업,12,,,
A005930,삼성전자,12,G45,반도체와반도체장비,반도체와반도체장비
A005940,NH투자증권,12,G40,증권,증권
A005950,이수화학,12,G15,소재,화학
A005960,동부건설,12,G20,자본재,건설
A005980,성지건설,12,,,
A006040,동원산업,12,G30,"식품,음료,담배",식품
A006060,화승인더,12,G25,내구소비재와의류,"섬유,의류,신발,호화품"
A006070,기린,12,,,
A006090,사조오양,12,G30,"식품,음료,담배",식품
A006110,삼아알미늄,12,G15,소재,비철금속
A006120,SK디스커버리,12,G10,에너지,석유와가스
A006150,한메엔에스,12,,,
A006160,신화건설,12,,,
A006200,한국전자홀딩스,12,G45,반도체와반도체장비,반도체와반도체장비
A006210,휴리프,3,,,
A006220,제주은행,12,G40,은행,은행
A006240,진도물산,12,,,
A006250,극동전선,12,,,
A006260,LS,12,G20,자본재,전기장비
A006270,금성통신,12,,,
A006280,녹십자,12,G35,제약과생물공학,제약
A006290,인천정유,12,,,
A006320,경기은행,12,,,
A006340,대원전선,12,G20,자본재,전기장비
A006350,전북은행,12,,,
A006360,GS건설,12,G20,자본재,건설
A006370,대구백화점,12,G25,소매(유통),백화점과일반상점
A006380,카프로,12,G15,소재,화학
A006390,한일현대시멘트,12,G20,자본재,건축자재
A006400,삼성SDI,12,G45,전자와 전기제품,전기제품
A006440,한일건설,12,,,
A006490,인스코비,12,G50,통신서비스,다각화된통신서비스
A006510,인켈,12,,,
A006570,대림통상,12,G20,자본재,건축제품
A006590,강원은행,12,,,
A006600,동신제약,12,,,
A006610,경남은행,12,,,
A006650,대한유화,12,G15,소재,화학
A006660,삼성공조,12,G25,자동차와부품,자동차부품
A006740,영풍제지,12,G15,소재,종이와목재
A006750,센추리,12,,,
A006790,대상교역,12,,,
A006800,미래에셋대우,12,G40,증권,증권
A006840,AK홀딩스,12,G15,소재,화학
A006880,신송홀딩스,12,G30,"식품,음료,담배",식품
A006890,태경화학,12,G15,소재,화학
A006900,요업개발,12,,,
A006980,우성사료,12,G30,"식품,음료,담배",식품
A007000,한주전자,12,,,
A007050,유리이에스,12,,,
A007070,GS리테일,12,G25,소매(유통),백화점과일반상점
A007100,호남식품,12,,,
A007110,일신석재,12,G20,자본재,건축자재
A007120,미래아이앤지,12,G45,소프트웨어와서비스,IT서비스
A007160,사조산업,12,G30,"식품,음료,담배",식품
A007170,기아자동차판매,12,,,
A007190,한솔아트원제지,12,,,
A007200,진흥저축은행,6,,,
A007210,벽산,12,G20,자본재,건축자재
A007230,금성기전,12,,,
A007240,충북은행,12,,,
A007280,한국특수형강,12,G15,소재,철강
A007310,오뚜기,12,G30,"식품,음료,담배",식품
A007340,디티알오토모티브,12,G25,자동차와부품,자동차부품
A007360,하나은행,12,,,
A007380,고합물산,12,,,
A007410,대우전자,12,,,
A007420,해동신용금고,6,,,
A007460,에이프로젠 KIC,12,G20,자본재,기계
A007480,대한은박지,9,,,
A007490,태창기업,12,,,
A007540,샘표,12,G30,"식품,음료,담배",식품
A007570,일양약품,12,G35,제약과생물공학,제약
A007590,동방아그로,12,G15,소재,화학
A007610,선도전기,12,G20,자본재,전기장비
A007630,폴루스바이오팜,12,G45,기술하드웨어와장비,통신장비
A007660,이수페타시스,12,G45,기술하드웨어와장비,전자장비와기기
A007690,국도화학,12,G15,소재,화학
A007700,F&F,12,G25,내구소비재와의류,"섬유,의류,신발,호화품"
A007790,금하방직,12,,,
A007800,솔로몬저축은행,6,,,
A007810,코리아써키트,12,G45,기술하드웨어와장비,전자장비와기기
A007860,서연,12,G25,자동차와부품,자동차부품
A007910,세원화성,12,,,
A007980,태평양물산,12,G25,내구소비재와의류,"섬유,의류,신발,호화품"
A008000,도레이케미칼,3,,,
A008020,경남에너지,12,,,
A008040,사조동아원,12,G30,"식품,음료,담배",식품
A008060,대덕전자,12,G45,기술하드웨어와장비,전자장비와기기
A008080,에스와이코퍼레이션,12,,,
A008100,거성산업,12,,,
A008110,대동전자,3,G45,기술하드웨어와장비,전자장비와기기
A008120,엠소닉,12,,,
A008190,신호전자통신,12,,,
A008250,이건산업,12,G20,자본재,건축자재
A008260,NI스틸,12,G15,소재,철강
A008270,산은캐피탈,3,,,
A008320,한국기술산업,10,,,
A008350,남선알미늄,12,G20,자본재,건축제품
A008400,C&중공업,12,,,
A008420,문배철강,12,G15,소재,철강
A008440,아이넥스테크놀로지,12,,,
A008480,KEP전자,12,,,
A008490,서흥,12,G35,제약과생물공학,생명과학도구및서비스
A008500,일정실업,12,G25,자동차와부품,자동차부품
A008530,일은증권,3,,,
A008540,케이비물산,1,,,
A008560,메리츠종금증권,12,G40,증권,증권
A008600,윌비스,12,G25,내구소비재와의류,"섬유,의류,신발,호화품"
A008640,우성건설,12,,,
A008650,신한전자,9,,,
A008670,신한금융투자,3,,,
A008690,한양,12,,,
A008700,아남전자,12,G45,전자와 전기제품,전자제품
A008720,삼양엔텍,12,,,
A008730,율촌화학,12,G15,소재,화학
A008750,범양식품,12,,,
A008770,호텔신라,12,G25,"호텔,레스토랑,레저등","호텔,레스토랑,레저"
A008810,LG종합금융,3,,,
A008870,금비,9,G15,소재,포장재
A008890,보람은행,12,,,
A008900,티이씨앤코,12,,,
A008930,한미사이언스,12,G35,제약과생물공학,제약
A008950,동부화학,12,,,
A008970,동양철관,12,G15,소재,철강
A008980,동양현대종합금융,3,,,
A008990,중앙종합금융,3,,,
A009030,대한종합금융,3,,,
A009050,대한알루미늄공업,12,,,
A009070,KCTC,12,G20,운송,항공화물운송과물류
A009080,태평양종합산업,12,,,
A009140,경인전자,12,G45,전자와 전기제품,전자제품
A009150,삼성전기,12,G45,기술하드웨어와장비,전자장비와기기
A009160,SIMPAC,12,G20,자본재,기계
A009180,한솔로지스틱스,12,G20,운송,항공화물운송과물류
A009190,대양금속,12,G15,소재,비철금속
A009200,무림페이퍼,12,G15,소재,종이와목재
A009240,한샘,12,G20,자본재,가구
